;Новослободская;Проспект мира К;Комсомольская;Курская К;Таганская К;Павелецкая К;Добрынинская;Октябрьская К;Парк Культуры К;Киевская К;Краснопресненская;Белорусская К;Баррикадная;Пушкинская Ф;Кузнецкий Мост;Китай-город Ф;Таганская Ф;Белорусская З;Маяковская;Тверская;Театральная;Новокузнецкая;Павелецкая З;Проспект Мира О;Сухаревская;Тургеневская;Китай- город О;Третьяковская О;Октябрьская О;Менделеевская;Цветной Бульвар;Чеховская;Боровицкая;Полянка;Серпуховская;Третьяковская Ж;Марксисткая;Киевская Г;Смоленская Г;Арбатская Г;Александровский сад;Киевская С;Смоленская С;Арбатская С;Площадь революции;Курская;Парк Культуры Кр;Кропотинсая;Библиотека им. Ленина;Охотный ряд;Лубянка;Чистые пруды;Красные Ворота;Комсомольская Кр;Трубная;Сретенский Бульвар;Чкаловская
Новослободская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Проспект мира К;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Комсомольская;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская К;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Таганская К;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Павелецкая К;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Добрынинская;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Октябрьская К;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парк Культуры К;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Киевская К;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснопресненская;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Белорусская К;3;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Баррикадная;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пушкинская Ф;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кузнецкий Мост;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
