iter	RMSE
0	76687.74742
1	74695.9056
2	72848.66806
3	71165.66173
4	69572.19302
5	67833.15184
6	66183.04668
7	64745.82492
8	63442.34227
9	62108.8918
10	60714.64542
11	59426.53206
12	58201.97874
13	57019.46842
14	55768.93862
15	54659.52547
16	53585.36792
17	52562.80997
18	51504.12647
19	50435.5731
20	49473.1037
21	48477.76649
22	47694.59938
23	46790.69746
24	45997.04228
25	45214.5635
26	44424.50124
27	43652.19775
28	42933.21509
29	42253.53257
30	41548.119
31	40798.53004
32	40190.46026
33	39592.49214
34	39074.7223
35	38473.16857
36	37926.45678
37	37406.91361
38	36937.6596
39	36450.82836
40	35953.2815
41	35511.25645
42	35110.86746
43	34743.09737
44	34359.58576
45	33927.88491
46	33552.10579
47	33144.5625
48	32732.54565
49	32382.42114
50	32073.58087
51	31705.14988
52	31378.93946
53	31082.15027
54	30769.53819
55	30527.46359
56	30263.42573
57	30015.64483
58	29709.66938
59	29471.83268
60	29166.99997
61	28917.62631
62	28630.60135
63	28433.75077
64	28144.22986
65	27929.77269
66	27681.73106
67	27467.59495
68	27286.74357
69	27077.9867
70	26859.70245
71	26641.6853
72	26448.14804
73	26275.7947
74	26098.60345
75	25909.16074
76	25715.92352
77	25555.90305
78	25393.61427
79	25214.55629
80	25038.37738
81	24888.44209
82	24717.98588
83	24632.3998
84	24446.60139
85	24332.80735
86	24204.2523
87	24062.37721
88	23916.25193
89	23796.14142
90	23659.21243
91	23558.39801
92	23434.25105
93	23325.61584
94	23211.13007
95	23118.64712
96	22960.40015
97	22869.6649
98	22806.2818
99	22707.94174
100	22584.68575
101	22529.31996
102	22448.71242
103	22316.3841
104	22222.78108
105	22121.82234
106	22048.51795
107	21969.60191
108	21900.90458
109	21836.98805
110	21814.68225
111	21717.78208
112	21619.69754
113	21590.40061
114	21536.78106
115	21463.84848
116	21365.36425
117	21322.31601
118	21268.34539
119	21183.16058
120	21090.51695
121	21035.35096
122	20964.03991
123	20888.49504
124	20798.39635
125	20721.70054
126	20658.54051
127	20576.22637
128	20496.43925
129	20453.60336
130	20411.77048
131	20349.52668
132	20282.16072
133	20214.64087
134	20175.17146
135	20106.99217
136	20054.30795
137	20009.35012
138	19945.0221
139	19854.01613
140	19800.87661
141	19773.45263
142	19733.49613
143	19660.75478
144	19586.37689
145	19555.9587
146	19518.22923
147	19445.62187
148	19366.57179
149	19332.66665
150	19279.25393
151	19229.74448
152	19177.43501
153	19115.76174
154	19063.18205
155	19005.60478
156	18974.6629
157	18935.11347
158	18905.87463
159	18872.64938
160	18818.27423
161	18801.14817
162	18789.38496
163	18743.79051
164	18681.56657
165	18630.22257
166	18594.83414
167	18569.55573
168	18565.37694
169	18553.57279
170	18533.22012
171	18492.27669
172	18460.37242
173	18456.71875
174	18410.91995
175	18344.74269
176	18296.95713
177	18239.90631
178	18209.54932
179	18170.29407
180	18154.41973
181	18100.08598
182	18062.02493
183	18024.70399
184	18021.75329
185	17998.89345
186	17970.73623
187	17922.881
188	17873.08385
189	17851.97879
190	17812.71091
191	17756.92341
192	17730.50606
193	17679.00089
194	17649.1852
195	17615.7024
196	17552.97957
197	17516.1419
198	17475.46269
199	17434.71792
200	17393.68058
201	17379.58134
202	17344.02953
203	17319.32956
204	17296.74827
205	17278.61337
206	17251.36377
207	17232.92934
208	17198.99289
209	17183.62923
210	17142.11518
211	17104.15872
212	17038.69659
213	17012.63763
214	16997.07102
215	16981.31889
216	16942.24514
217	16917.69571
218	16887.75927
219	16840.61939
220	16804.38256
221	16768.06992
222	16741.51503
223	16700.60235
224	16667.25251
225	16641.69047
226	16606.43546
227	16593.44397
228	16571.92069
229	16532.53376
230	16500.81165
231	16484.68149
232	16454.17843
233	16431.69991
234	16420.566
235	16389.36138
236	16354.90031
237	16326.07314
238	16315.44838
239	16273.25572
240	16252.08456
241	16231.54472
242	16192.25996
243	16155.85461
244	16114.4359
245	16068.43676
246	16057.65172
247	16025.0797
248	15984.75902
249	15962.0021
250	15954.61995
251	15944.53274
