iter	Passed	Remaining
0	41	41765
1	83	41531
2	125	41550
3	170	42442
4	221	44043
5	268	44445
6	315	44685
7	360	44691
8	381	42002
9	423	41967
10	475	42765
11	523	43135
12	594	45108
13	647	45608
14	700	45974
15	750	46178
16	797	46141
17	843	46028
18	897	46356
19	965	47315
20	1032	48115
21	1095	48702
22	1153	49012
23	1211	49261
24	1261	49193
25	1309	49073
26	1362	49087
27	1411	49010
28	1467	49121
29	1517	49065
30	1563	48884
31	1612	48784
32	1658	48609
33	1716	48769
34	1766	48696
35	1817	48664
36	1863	48496
37	1912	48424
38	1969	48536
39	2016	48407
40	2064	48300
41	2112	48183
42	2164	48179
43	2219	48228
44	2268	48135
45	2328	48295
46	2378	48232
47	2427	48154
48	2482	48182
49	2534	48161
50	2584	48100
51	2632	47990
52	2679	47878
53	2733	47883
54	2780	47768
55	2827	47663
56	2876	47585
57	2925	47507
58	2975	47458
59	3028	47447
60	3076	47350
61	3124	47272
62	3174	47217
63	3225	47166
